Date,Open,High,Low,Close*,Adj Close**,Volume
3-Mar-20,53.67,53.8,47.74,49.7,49.7,386760000
2-Mar-20,47.42,49.58,45.78,49.57,49.57,302925000
28-Feb-20,41.98,46.03,40.77,44.53,44.53,363343500
27-Feb-20,48.67,49.32,44.6,45.27,45.27,364158000
26-Feb-20,52.17,54.22,51.74,51.92,51.92,211282500
25-Feb-20,56.6,57.11,52.47,53.33,53.33,259357500
24-Feb-20,55.93,57.57,54.81,55.59,55.59,227883000
21-Feb-20,60.47,60.87,58.7,60.07,60.07,214722000
20-Feb-20,60.8,60.8,57.33,59.96,59.96,264523500
19-Feb-20,61.57,62.99,60.07,61.16,61.16,381345000
18-Feb-20,56.11,57.33,55.49,57.23,57.23,245725500
14-Feb-20,52.48,54.2,52.37,53.34,53.34,235405500
13-Feb-20,49.46,54.53,49,53.6,53.6,394339500
12-Feb-20,51.86,52.65,50.89,51.15,51.15,180337500
11-Feb-20,51.25,52.23,50.53,51.63,51.63,175462500
10-Feb-20,53.33,54.67,50.16,51.42,51.42,370338000
7-Feb-20,48.7,51.32,48.67,49.87,49.87,255952500
6-Feb-20,46.66,53.06,45.8,49.93,49.93,598212000
5-Feb-20,54.88,56.4,46.94,48.98,48.98,726357000
4-Feb-20,58.86,64.6,55.59,59.14,59.14,914082000
3-Feb-20,44.91,52.41,44.9,52,52,705975000
31-Jan-20,42.67,43.53,42.17,43.37,43.37,235789500
30-Jan-20,42.16,43.39,41.2,42.72,42.72,435085500
29-Jan-20,38.38,39.32,37.83,38.73,38.73,267022500
28-Jan-20,37.9,38.45,37.21,37.79,37.79,176827500
27-Jan-20,36.13,37.63,35.95,37.2,37.2,204121500
24-Jan-20,38.04,38.26,36.95,37.65,37.65,215304000
23-Jan-20,37.62,38.8,37.04,38.15,38.15,294765000
22-Jan-20,38.13,39.63,37.27,37.97,37.97,470535000
21-Jan-20,35.35,36.57,35.23,36.48,36.48,267052500
17-Jan-20,33.84,34.38,33.54,34.03,34.03,204436500
16-Jan-20,32.92,34.3,32.81,34.23,34.23,326050500
15-Jan-20,35.32,35.86,34.45,34.57,34.57,260532000
14-Jan-20,36.28,36.49,34.99,35.86,35.86,434943000
13-Jan-20,32.9,35.04,32.8,34.99,34.99,397764000
10-Jan-20,32.12,32.33,31.58,31.88,31.88,194392500
9-Jan-20,33.14,33.25,31.52,32.09,32.09,426606000
8-Jan-20,31.58,33.23,31.22,32.81,32.81,467164500
7-Jan-20,30.76,31.44,30.22,31.27,31.27,268231500
6-Jan-20,29.36,30.1,29.33,30.1,30.1,151995000
3-Jan-20,29.37,30.27,29.13,29.53,29.53,266677500
2-Jan-20,28.3,28.71,28.11,28.68,28.68,142981500
